                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.49516,                0.35604,                0.92688,                0.99189,                      1,                  0.995,                0.88518,                0.53008,                0.30443,                0.90711,               0.001393,               0.001393,               0.001393
                     85,                0.49073,                0.35963,                0.94413,                0.99282,                      1,                  0.995,                0.85778,                0.54446,                0.29088,                0.94691,              0.0013897,              0.0013897,              0.0013897
                     86,                0.48231,                0.34654,                0.91943,                0.99568,                      1,                  0.995,                0.85529,                0.61615,                0.32274,                0.96496,              0.0013864,              0.0013864,              0.0013864
                     87,                0.46966,                0.33827,                0.92628,                0.99479,                      1,                  0.995,                 0.8732,                0.56299,                0.28836,                0.95236,              0.0013831,              0.0013831,              0.0013831
                     88,                0.45064,                0.32323,                0.91315,                0.99116,                      1,                  0.995,                0.88361,                0.54886,                0.29749,                0.92402,              0.0013798,              0.0013798,              0.0013798
                     89,                0.45915,                0.33713,                0.91349,                 0.9946,                      1,                  0.995,                0.88433,                 0.5162,                 0.2791,                   0.89,              0.0013765,              0.0013765,              0.0013765
                     90,                0.47893,                0.35259,                0.92282,                0.99331,                      1,                  0.995,                0.86818,                0.56338,                0.30758,                0.91133,              0.0013732,              0.0013732,              0.0013732
                     91,                0.46466,                0.33415,                0.92581,                 0.9912,                      1,                  0.995,                0.86522,                0.59701,                0.28483,                0.93198,              0.0013699,              0.0013699,              0.0013699
                     92,                0.44761,                0.32126,                0.90519,                0.99574,                      1,                  0.995,                 0.8875,                0.53004,                0.28092,                 0.9055,              0.0013666,              0.0013666,              0.0013666
                     93,                 0.4681,                0.32564,                0.91973,                0.99681,                      1,                  0.995,                0.87712,                0.51324,                0.26976,                0.90041,              0.0013633,              0.0013633,              0.0013633
                     94,                0.46309,                0.33724,                0.91259,                0.99192,                      1,                  0.995,                0.88433,                0.54708,                  0.277,                0.91568,                0.00136,                0.00136,                0.00136
                     95,                0.44808,                0.31259,                 0.9179,                0.99538,                      1,                  0.995,                 0.8825,                0.47583,                0.25945,                0.89064,              0.0013567,              0.0013567,              0.0013567
                     96,                0.45372,                0.33102,                0.92495,                0.99284,                      1,                  0.995,                0.88424,                0.51686,                 0.2636,                0.90998,              0.0013534,              0.0013534,              0.0013534
                     97,                0.45473,                0.32703,                0.91562,                0.99577,                      1,                  0.995,                0.86831,                0.55269,                0.27723,                0.94253,              0.0013501,              0.0013501,              0.0013501
                     98,                0.47463,                0.33971,                0.92696,                0.99685,                      1,                  0.995,                0.88596,                0.56464,                0.28073,                0.97862,              0.0013468,              0.0013468,              0.0013468
                     99,                 0.4504,                0.32347,                0.93043,                 0.9939,                      1,                  0.995,                  0.888,                0.56126,                0.27463,                0.98093,              0.0013435,              0.0013435,              0.0013435
                    100,                0.45075,                0.33006,                0.93399,                0.99682,                      1,                  0.995,                0.87145,                0.61451,                0.28863,                 1.0254,              0.0013402,              0.0013402,              0.0013402
                    101,                0.42824,                0.31278,                0.90655,                0.99292,                0.99976,                  0.995,                0.84297,                0.61001,                0.28348,                 1.0131,              0.0013369,              0.0013369,              0.0013369
                    102,                0.44887,                0.31431,                  0.915,                0.99522,                      1,                  0.995,                0.85003,                0.60678,                0.29804,                 1.0126,              0.0013336,              0.0013336,              0.0013336
                    103,                0.43807,                0.30927,                0.89228,                 0.9959,                      1,                  0.995,                0.84435,                0.61333,                0.31719,                 1.0057,              0.0013303,              0.0013303,              0.0013303
                    104,                0.45667,                0.31927,                 0.9197,                0.99338,                      1,                  0.995,                0.85005,                0.60848,                0.28148,                  1.033,               0.001327,               0.001327,               0.001327
                    105,                0.45359,                0.31561,                0.91729,                0.98795,                      1,                  0.995,                0.86503,                0.60615,                 0.3021,                 1.0267,              0.0013237,              0.0013237,              0.0013237
                    106,                0.43338,                0.31025,                0.90785,                0.99576,                      1,                  0.995,                0.87193,                0.57129,                0.27654,                0.96757,              0.0013204,              0.0013204,              0.0013204
                    107,                0.44642,                0.31291,                0.91384,                0.99211,                      1,                  0.995,                 0.8479,                 0.6248,                0.30875,                0.99232,              0.0013171,              0.0013171,              0.0013171
                    108,                0.44076,                0.31681,                0.90685,                0.99545,                      1,                  0.995,                0.88012,                0.53463,                0.27265,                0.90585,              0.0013138,              0.0013138,              0.0013138
                    109,                0.43341,                0.32394,                 0.9158,                0.99298,                      1,                  0.995,                0.86158,                0.57987,                0.28128,                0.92807,              0.0013105,              0.0013105,              0.0013105
                    110,                0.43074,                0.32817,                0.90794,                0.99567,                      1,                  0.995,                0.88087,                0.52719,                0.27723,                0.90864,              0.0013072,              0.0013072,              0.0013072
                    111,                0.44837,                0.31619,                 0.9237,                0.99709,                      1,                  0.995,                0.89559,                0.50471,                0.26841,                0.89734,              0.0013039,              0.0013039,              0.0013039
                    112,                0.43694,                0.31307,                 0.9081,                 0.9968,                      1,                  0.995,                0.89805,                 0.5073,                0.29682,                 0.8838,              0.0013006,              0.0013006,              0.0013006
                    113,                0.43281,                0.31949,                0.91738,                0.99668,                      1,                  0.995,                0.85897,                0.55664,                0.29047,                0.93054,              0.0012973,              0.0012973,              0.0012973
                    114,                0.45583,                0.31969,                0.93154,                0.99561,                      1,                  0.995,                0.88713,                0.58954,                0.29889,                0.94316,               0.001294,               0.001294,               0.001294
                    115,                0.44326,                0.31047,                0.90314,                 0.9957,                      1,                  0.995,                0.86048,                0.58625,                0.26981,                0.97146,              0.0012907,              0.0012907,              0.0012907
                    116,                0.42756,                0.31375,                0.91209,                0.99039,                      1,                  0.995,                0.86202,                0.58439,                 0.2817,                0.97654,              0.0012874,              0.0012874,              0.0012874
                    117,                0.42604,                0.30366,                0.91034,                0.99632,                      1,                  0.995,                0.87309,                0.59186,                0.30114,                0.95037,              0.0012841,              0.0012841,              0.0012841
                    118,                0.44493,                0.30361,                0.90977,                0.99603,                      1,                  0.995,                0.87997,                0.57488,                0.27605,                0.94358,              0.0012808,              0.0012808,              0.0012808
                    119,                0.46206,                0.32448,                0.92415,                0.99387,                      1,                  0.995,                0.88158,                0.55204,                 0.3008,                0.91803,              0.0012775,              0.0012775,              0.0012775
                    120,                0.42852,                0.30733,                0.90082,                0.98665,                0.99789,                  0.995,                 0.8645,                0.56045,                0.29269,                0.92645,              0.0012742,              0.0012742,              0.0012742
                    121,                0.43227,                0.29865,                0.91862,                0.98956,                      1,                  0.995,                0.88022,                0.54433,                0.28724,                0.93308,              0.0012709,              0.0012709,              0.0012709
                    122,                0.43119,                 0.3068,                0.91288,                0.98544,                 0.9771,                  0.995,                0.87418,                0.56575,                0.28929,                0.92261,              0.0012676,              0.0012676,              0.0012676
                    123,                0.42974,                0.30924,                0.92062,                0.96527,                0.99498,                  0.995,                0.90696,                0.50542,                0.26951,                 0.8868,              0.0012643,              0.0012643,              0.0012643
                    124,                0.41844,                0.30159,                0.90774,                0.99692,                0.97293,                  0.995,                0.87192,                0.57905,                0.30162,                0.94599,               0.001261,               0.001261,               0.001261
                    125,                0.43636,                0.31074,                 0.9133,                0.99623,                      1,                  0.995,                0.87225,                0.57172,                0.28952,                 0.9383,              0.0012577,              0.0012577,              0.0012577
                    126,                0.44227,                0.31132,                0.91768,                0.99528,                      1,                  0.995,                0.87155,                0.59193,                0.28599,                0.96607,              0.0012544,              0.0012544,              0.0012544
                    127,                0.43387,                0.29918,                0.90681,                0.99766,                0.98952,                  0.995,                0.88205,                0.56441,                0.28635,                0.96523,              0.0012511,              0.0012511,              0.0012511
                    128,                 0.4217,                0.30226,                0.91015,                0.98859,                      1,                  0.995,                0.86494,                0.57579,                0.27463,                0.96004,              0.0012478,              0.0012478,              0.0012478
                    129,                0.43081,                0.29907,                 0.9025,                0.99525,                      1,                  0.995,                0.89089,                0.54431,                 0.2665,                0.93194,              0.0012445,              0.0012445,              0.0012445
                    130,                0.42961,                0.29319,                0.91559,                0.99574,                      1,                  0.995,                0.87316,                0.58082,                0.27637,                0.97475,              0.0012412,              0.0012412,              0.0012412
                    131,                0.43104,                0.29712,                  0.902,                0.99529,                      1,                  0.995,                0.87728,                0.59301,                0.28713,                0.96193,              0.0012379,              0.0012379,              0.0012379
                    132,                0.42466,                0.29713,                0.90634,                0.99483,                      1,                  0.995,                0.89405,                0.51877,                0.28351,                0.89056,              0.0012346,              0.0012346,              0.0012346
